YR,COflows,COinflows
1939,15290333,869231
1940,13698362,1012284
1941,19554721,2048018
1942,20817271,846529
1943,14970744,825246
1944,13124177,900663
1945,10827207,1003030
1946,9284562,735028
1947,15896430,700234
1948,17074094,296714
1949,18496606,625555
1950,12283675,318263
1951,10213593,348667
1952,17828356,870486
1953,12604875,431537
1954,6965792,520006
1955,15611382,802405
1956,12613718,388109
1957,18288849,908501
1958,16877171,899818
1959,8023650,546031
1960,13374495,813336
1961,11291329,756379
1962,17032106,410768
1963,11257214,574756
1964,12953635,378025
1965,18846014,1251149
1966,14933402,1031437
1967,12805002,831632
1968,12932949,837544
1969,16562413,1063709
1970,16201561,720335
1971,12450491,575263
1972,11799624,639485
1973,20315636,1354307
1974,16062776,735879
1975,15668027,703014
1976,10330838,622726
1977,3603193,428635
1978,17676531,1225870
1979,19867787,1321924
1980,16035166,1555477
1981,9862471,744843
1982,17722469,1043328
1983,23454564,1608500
1984,21325443,1393809
1985,21628180,1020895
1986,21814109,694636
1987,17002147,997713
1988,12733193,853780
1989,12544807,698630
1990,8691323,625049
1991,15336002,952946
1992,15285129,1289055
1993,18886069,1970594
1994,11624175,652286
1995,17344231,1462002
1996,15530905,564015
1997,16228977,771500
1998,17375457,1204506
1999,15413953,648547
2000,10681849,475151
2001,10219732,571530
2002,4464679,357809
2003,14581652,486337
2004,14405387,721645
2005,16690946,1638837
